Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11,527163010,60,RL,0.18493150684931503,0.04066465680431887,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0.5555555555555556,0.5,0.8768115942028984,0.7333333333333343,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,0.3266267123287671,0.12487725040916531,GasA,Gd,Y,SBrkr,0.09010712035286704,0.4319612590799031,0.0,0.24886963074604374,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,TA,0.3846153846153847,Typ,0.25,TA,Attchd,0.3141025641025639,Fin,0.4,0.2956989247311828,TA,TA,Y,0.11025280898876404,0.11320754716981132,0.0,0.0,0.0,0.0,,,,0.0,4,2010,WD ,Normal,0.21976365211509935
12,527165230,20,RL,0.1651527060408713,0.031222977868143688,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,0.5555555555555556,0.75,0.8695652173913047,0.9500000000000028,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,0.16566265060240964,Unf,0.0,0.0997431506849315,0.19116202945990182,GasA,Ex,Y,SBrkr,0.17916404116782186,0.0,0.0,0.1607008289374529,0.3333333333333333,0.0,0.5,0.0,0.375,0.3333333333333333,TA,0.3076923076923077,Typ,0.0,,Attchd,0.31089743589743524,Fin,0.4,0.28225806451612906,TA,TA,Y,0.33918539325842695,0.02830188679245283,0.0,0.0,0.0,0.0,,GdPrv,Shed,0.029411764705882353,3,2010,WD ,Normal,0.23202431653532485
13,527166040,60,RL,0.14383561643835613,0.03319544742807731,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0.5555555555555556,0.5,0.9130434782608692,0.7999999999999972,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,0.3377568493150685,0.12913256955810148,GasA,Gd,Y,SBrkr,0.09556815795001049,0.3273607748184019,0.0,0.2130746043707611,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,TA,0.3846153846153847,Typ,0.25,Gd,Attchd,0.3301282051282044,Fin,0.4,0.2641129032258065,TA,TA,Y,0.0,0.10107816711590296,0.0,0.0,0.0,0.0,,,,0.0,5,2010,WD ,Normal,0.22582661803718887
14,527180040,20,RL,0.2191780821917808,0.04148729813737176,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,0.6666666666666665,0.5,0.8550724637681171,0.6666666666666643,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,0.1128632175761871,Unf,0.0,0.2838184931506849,0.21276595744680854,GasA,Gd,Y,SBrkr,0.2115101869355177,0.0,0.0,0.18971363978899775,0.3333333333333333,0.0,0.25,0.5,0.25,0.3333333333333333,Gd,0.23076923076923078,Typ,0.25,Po,Attchd,0.30448717948717885,Unf,0.4,0.34005376344086025,TA,TA,Y,0.1348314606741573,0.0,0.0,0.0,0.0,0.0,,,,0.0,2,2010,WD ,Normal,0.21383541876905623
15,527182190,120,RL,0.1651527060408713,0.025801023627567837,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,0.7777777777777777,0.5,0.8188405797101446,0.5833333333333357,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,0.06520198440822113,BLQ,0.7339449541284404,0.0,0.2435351882160393,GasA,TA,Y,SBrkr,0.2453266120562907,0.0,0.0,0.22004521477015826,0.3333333333333333,0.0,0.25,0.5,0.125,0.3333333333333333,Gd,0.15384615384615385,Typ,0.0,,Attchd,0.2884615384615383,RFn,0.4,0.3548387096774194,TA,TA,Y,0.0,0.07277628032345014,0.0,0.0,0.24305555555555555,0.0,,,,0.0,6,2010,WD ,Normal,0.2684021120678621
16,527216070,60,RL,0.08904109589041094,0.24400663721984628,Pave,,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,0.7777777777777777,0.5,0.9492753623188417,0.8833333333333329,Hip,CompShg,CemntBd,Wd Shng,BrkFace,0.376875,Ex,TA,PConc,Gd,TA,Gd,ALQ,0.2508858965272856,Unf,0.0,0.10017123287671233,0.2700490998363339,GasA,Ex,Y,SBrkr,0.2848141146817895,0.7694915254237288,0.0,0.5548229088168801,0.3333333333333333,0.0,0.75,0.5,0.5,0.3333333333333333,Ex,0.7692307692307693,Mod,0.25,Gd,BuiltIn,0.3461538461538458,Fin,0.6000000000000001,0.5651881720430108,TA,TA,Y,0.3532303370786517,0.04851752021563342,0.0,0.0,0.3645833333333333,0.0,,,,0.0,6,2010,WD ,Normal,0.7076303099792377
17,527225035,50,RL,0.44863013698630133,0.05063918296758514,Pave,,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,0.7777777777777777,0.75,0.8405797101449277,0.9166666666666643,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,0.07565556343019135,Unf,0.0,0.05650684931506849,0.09148936170212767,GasA,Gd,Y,SBrkr,0.15668977105650073,0.3254237288135593,0.0,0.2671439336850038,0.0,0.0,0.5,0.0,0.5,0.3333333333333333,TA,0.46153846153846156,Typ,0.0,,Basment,0.29807692307692246,RFn,0.4,0.3306451612903226,TA,TA,Y,0.22823033707865167,0.016172506738544475,0.0,0.0,0.0,0.0,,,,0.0,6,2010,WD ,Normal,0.20373047556557367
18,527258010,20,RL,0.22945205479452052,0.047180350089976404,Pave,,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,0.8888888888888888,0.125,1.0,1.0,Hip,CompShg,VinylSd,VinylSd,Stone,0.21875,Gd,TA,PConc,Ex,TA,Av,GLQ,0.2560240963855422,Unf,0.0,0.1759417808219178,0.3037643207855974,GasA,Ex,Y,SBrkr,0.31968073934047464,0.0,0.0,0.2867370007535795,0.3333333333333333,0.0,0.25,0.5,0.125,0.3333333333333333,Ex,0.46153846153846156,Typ,0.25,Ex,Attchd,0.3685897435897436,Fin,0.6000000000000001,0.560483870967742,TA,TA,Y,0.07935393258426966,0.0,0.0,0.0,0.0,0.0,,,,0.0,6,2010,New,Partial,0.514197445200893
19,527276150,20,RL,0.40753424657534243,0.08337656874430345,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,0.3333333333333333,0.5,0.5724637681159432,0.01666666666666572,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,0.021261516654854713,Unf,0.0,0.3184931506849315,0.14140752864157122,GasA,Ex,Y,SBrkr,0.11132115101869354,0.0,0.0,0.0998492840994725,0.0,0.0,0.25,0.0,0.25,0.3333333333333333,TA,0.15384615384615385,Typ,0.0,,Detchd,0.17948717948717885,Unf,0.4,0.2688172043010753,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6,2010,WD ,Normal,0.1727419830748938
20,527302110,20,RL,0.2191780821917808,0.05550491948865364,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.625,0.7681159420289863,0.6333333333333329,Gable,CompShg,Plywood,Plywood,Stone,0.074375,TA,TA,CBlock,Gd,TA,No,ALQ,0.13997165131112688,Rec,0.10681520314547838,0.2521404109589041,0.2523731587561375,GasA,TA,Y,SBrkr,0.36525939928586426,0.0,0.0,0.3276186887716654,0.3333333333333333,0.0,0.5,0.0,0.375,0.3333333333333333,TA,0.3846153846153847,Min1,0.5,TA,Attchd,0.2660256410256405,Unf,0.4,0.3360215053763441,TA,TA,Y,0.24508426966292135,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,2,2010,WD ,Normal,0.2657074605469334
21,527358140,20,RL,0.2876712328767123,0.04884900324849846,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.625,0.7608695652173925,0.45000000000000284,Hip,CompShg,Plywood,Plywood,BrkFace,0.3,TA,TA,CBlock,Gd,TA,No,BLQ,0.12491141034727145,Unf,0.0,0.48758561643835613,0.30180032733224227,GasA,Ex,Y,SBrkr,0.31716026044948536,0.0,0.0,0.2844762622456669,0.0,0.0,0.5,0.0,0.375,0.3333333333333333,TA,0.3846153846153847,Typ,0.25,TA,Attchd,0.2628205128205128,RFn,0.4,0.36693548387096775,TA,TA,Y,0.0,0.16442048517520216,0.0,0.0,0.0,0.0,,MnPrv,,0.0,1,2010,COD,Normal,0.23876094533764655
22,527358200,85,RL,0.2191780821917808,0.043585968356353276,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,0.6666666666666665,0.625,0.7391304347826093,0.3999999999999986,Gable,CompShg,Plywood,Plywood,BrkFace,0.050625,TA,TA,CBlock,Gd,TA,Gd,GLQ,0.15680368532955352,LwQ,0.11009174311926606,0.0,0.17234042553191492,GasA,TA,Y,SBrkr,0.1762234824616677,0.0,0.0,0.15806330067822155,0.3333333333333333,0.0,0.5,0.0,0.375,0.3333333333333333,Gd,0.3076923076923077,Typ,0.5,TA,Attchd,0.25320512820512775,RFn,0.4,0.3548387096774194,TA,TA,Y,0.0,0.16172506738544476,0.0,0.0,0.0,0.0,,MnPrv,,0.0,1,2010,WD ,Family,0.2118144301283597
23,527368020,60,FV,0.1651527060408713,0.028979410596181268,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,0.6666666666666665,0.5,0.9275362318840585,0.8333333333333357,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,0.09443656980864636,Unf,0.0,0.12029109589041095,0.13322422258592473,GasA,Ex,Y,SBrkr,0.10081915563957151,0.41646489104116224,0.0,0.25244913338357194,0.3333333333333333,0.0,0.5,0.5,0.375,0.3333333333333333,Gd,0.3846153846153847,Typ,0.0,,Attchd,0.3365384615384608,RFn,0.4,0.4455645161290323,TA,TA,Y,0.0,0.1293800539083558,0.0,0.0,0.0,0.0,,,,0.0,1,2010,WD ,Normal,0.27379141510971944
24,527402200,20,RL,0.1651527060408713,0.046465213022038376,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.75,0.7101449275362324,0.3333333333333357,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.1125,TA,TA,CBlock,TA,TA,No,ALQ,0.10240963855421686,Unf,0.0,0.18236301369863012,0.16432078559738136,GasA,Ex,Y,SBrkr,0.14072673808023523,0.0,0.0,0.12622456669178597,0.3333333333333333,0.0,0.25,0.0,0.25,0.3333333333333333,TA,0.23076923076923078,Typ,0.25,TA,Attchd,0.24038461538461497,Fin,0.4,0.32258064516129037,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,Shed,0.041176470588235294,3,2010,WD ,Normal,0.18352058915860853
25,527402250,20,RL,0.1651527060408713,0.05252284465633692,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444445,0.625,0.7173913043478262,0.9666666666666686,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,0.130049610205528,Unf,0.0,0.14726027397260272,0.17643207855973814,GasA,Ex,Y,SBrkr,0.15626969124133583,0.0,0.0,0.14016578749058026,0.3333333333333333,0.0,0.25,0.5,0.375,0.3333333333333333,TA,0.3076923076923077,Typ,0.25,Fa,Attchd,0.2435897435897436,Fin,0.4,0.3360215053763441,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4,2010,WD ,Normal,0.18473318234302644
26,527403020,20,RL,0.1506849315068493,0.033419804155273555,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444445,0.625,0.695652173913043,0.29999999999999716,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,0.13731396172927002,Unf,0.0,0.12029109589041095,0.1728314238952537,GasA,Ex,Y,SBrkr,0.15164881327452218,0.0,0.0,0.13602110022607386,0.3333333333333333,0.0,0.25,0.0,0.375,0.3333333333333333,TA,0.3076923076923077,Typ,0.25,Fa,Attchd,0.2339743589743586,Unf,0.2,0.20430107526881722,TA,TA,Y,0.0,0.11455525606469004,0.18181818181818182,0.0,0.0,0.0,,,,0.0,7,2010,WD ,Normal,0.17408930883535814
27,527404120,20,RL,0.1678082191780822,0.03318609923111081,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.3333333333333333,0.5,0.7101449275362324,0.3333333333333357,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,0.14245216158752658,Rec,0.05111402359108781,0.0,0.14435351882160394,GasA,TA,Y,SBrkr,0.11510186935517748,0.0,0.0,0.10324039186134137,0.3333333333333333,0.0,0.25,0.0,0.25,0.3333333333333333,TA,0.15384615384615385,Typ,0.0,,Attchd,0.24038461538461497,Fin,0.4,0.3528225806451613,TA,TA,Y,0.16853932584269662,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,4,2010,WD ,Normal,0.15253209666792866
28,527425090,20,RL,0.1678082191780822,0.04300170604594639,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.3333333333333333,0.5,0.7173913043478262,0.3500000000000014,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,0.07654145995747696,Unf,0.0,0.18493150684931506,0.14140752864157122,GasA,TA,Y,SBrkr,0.11132115101869354,0.0,0.0,0.0998492840994725,0.0,0.0,0.25,0.0,0.375,0.3333333333333333,TA,0.23076923076923078,Typ,0.25,Po,,0.26645013833754305,,0.0,0.0,,,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4,2010,ConLI,Normal,0.1377115133028209
29,527427230,120,RH,0.017123287671232876,0.021304540886676486,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,0.6666666666666665,0.5,0.9202898550724647,0.8166666666666629,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,0.18621545003543588,BLQ,0.0,0.15154109589041095,0.22995090016366615,GasA,Ex,Y,SBrkr,0.21067002730518797,0.0,0.0,0.1889600602863602,0.3333333333333333,0.0,0.5,0.0,0.25,0.3333333333333333,Gd,0.23076923076923078,Typ,0.25,Fa,Attchd,0.33333333333333304,Fin,0.4,0.3434139784946237,TA,TA,Y,0.1425561797752809,0.09164420485175202,0.0,0.0,0.0,0.0,,,,0.0,6,2010,WD ,Normal,0.2306769907748605
30,527451180,160,RM,0.0,0.0017761574236369163,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,0.5555555555555556,0.5,0.7173913043478262,0.3500000000000014,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.315,TA,TA,CBlock,TA,TA,No,Rec,0.02763997165131113,Unf,0.0,0.13998287671232876,0.07905073649754502,GasA,TA,Y,SBrkr,0.031295946229783655,0.2440677966101695,0.0,0.12302185380557648,0.0,0.0,0.25,0.5,0.25,0.3333333333333333,TA,0.23076923076923078,Typ,0.0,,Detchd,0.2435897435897436,Unf,0.2,0.1774193548387097,TA,TA,Y,0.19311797752808987,0.0,0.0,0.0,0.0,0.0,,,,0.0,2,2010,COD,Normal,0.11211232385399837
31,527451330,160,RM,0.0,0.0017761574236369163,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,0.4444444444444445,0.5,0.7173913043478262,0.3500000000000014,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.3075,TA,TA,CBlock,TA,TA,No,Rec,0.05315379163713679,Unf,0.0,0.09631849315068493,0.08592471358428806,GasA,TA,Y,SBrkr,0.04011762234824616,0.2745762711864407,0.0,0.14280331574981162,0.0,0.0,0.25,0.5,0.375,0.3333333333333333,TA,0.3076923076923077,Typ,0.0,,Detchd,0.32692307692307665,Unf,0.2,0.21505376344086025,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,2010,WD ,Normal,0.12491191857840962
32,527451410,160,RM,0.0,0.0017761574236369163,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,0.5555555555555556,0.5,0.7173913043478262,0.3500000000000014,Gable,CompShg,HdBoard,ImStucc,BrkFace,0.238125,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,0.2247431506849315,0.08592471358428806,GasA,TA,Y,SBrkr,0.04011762234824616,0.2745762711864407,0.0,0.14280331574981162,0.0,0.0,0.25,0.5,0.375,0.3333333333333333,TA,0.3076923076923077,Typ,0.0,,Detchd,0.2435897435897436,Unf,0.2,0.1774193548387097,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,2010,WD ,Family,0.10133371777028365
